corte_id,timestamp,porcentaje_contado,candidato,votos,porcentaje,partido
2026-06-07T18:12:29,2026-06-07T18:12:29,0.022,ROBERTO HELBERT SANCHEZ PALOMINO,2116,54.326,JUNTOS POR EL PERÚ
2026-06-07T18:12:29,2026-06-07T18:12:29,0.022,KEIKO SOFIA FUJIMORI HIGUCHI,1779,45.674,FUERZA POPULAR
2026-06-07T18:26:00,2026-06-07T18:26:00,0.067,KEIKO SOFIA FUJIMORI HIGUCHI,6364,51.022,FUERZA POPULAR
2026-06-07T18:26:00,2026-06-07T18:26:00,0.067,ROBERTO HELBERT SANCHEZ PALOMINO,6109,48.978,JUNTOS POR EL PERÚ
2026-06-07T18:32:00,2026-06-07T18:32:00,0.122,KEIKO SOFIA FUJIMORI HIGUCHI,12036,52.621,FUERZA POPULAR
2026-06-07T18:32:00,2026-06-07T18:32:00,0.122,ROBERTO HELBERT SANCHEZ PALOMINO,10837,47.379,JUNTOS POR EL PERÚ
2026-06-07T18:38:00,2026-06-07T18:38:00,0.171,KEIKO SOFIA FUJIMORI HIGUCHI,17318,53.843,FUERZA POPULAR
2026-06-07T18:38:00,2026-06-07T18:38:00,0.171,ROBERTO HELBERT SANCHEZ PALOMINO,14846,46.157,JUNTOS POR EL PERÚ
2026-06-07T18:42:00,2026-06-07T18:42:00,0.264,KEIKO SOFIA FUJIMORI HIGUCHI,27370,54.421,FUERZA POPULAR
2026-06-07T18:42:00,2026-06-07T18:42:00,0.264,ROBERTO HELBERT SANCHEZ PALOMINO,22923,45.579,JUNTOS POR EL PERÚ
2026-06-07T18:46:00,2026-06-07T18:46:00,0.387,KEIKO SOFIA FUJIMORI HIGUCHI,40180,54.535,FUERZA POPULAR
2026-06-07T18:46:00,2026-06-07T18:46:00,0.387,ROBERTO HELBERT SANCHEZ PALOMINO,33498,45.465,JUNTOS POR EL PERÚ
2026-06-07T18:52:00,2026-06-07T18:52:00,0.654,KEIKO SOFIA FUJIMORI HIGUCHI,68100,54.576,FUERZA POPULAR
2026-06-07T18:52:00,2026-06-07T18:52:00,0.654,ROBERTO HELBERT SANCHEZ PALOMINO,56679,45.424,JUNTOS POR EL PERÚ
