timestamp,porcentaje_contado,nombreCandidato,agrupacion,votos_proyectados,porcentaje_proyectado
2026-06-07T18:12:29,0.022,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,2406389.0,56.94821579269467
2026-06-07T18:12:29,0.022,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,1819185.0,43.051784207305325
2026-06-07T18:26:00,0.069,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,5271129.0,52.588312231845826
2026-06-07T18:26:00,0.069,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,4752256.0,47.411687768154174
2026-06-07T18:32:00,0.125,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,8402440.0,56.029986542704755
2026-06-07T18:32:00,0.125,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,6593887.0,43.970013457295245
2026-06-07T18:38:00,0.176,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,14408932.0,57.98579987098109
2026-06-07T18:38:00,0.176,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,10440138.0,42.01420012901892
2026-06-07T18:42:00,0.272,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,10712794.0,55.86975093648693
2026-06-07T18:42:00,0.272,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,8461793.0,44.13024906351308
